| Статус | Проект | Идентификатор задачи | Название задачи | Последний комментарий |
|---|--------|----------------------|-----------------|-----------------------|
| :large_yellow_circle: | Пятница | [PTN-813](https://plane.it4retail.tech/it4retail/projects/a047ce1e-91dc-4ef7-94df-a6c4ed47ca17/issues/03deea2e-5992-49d1-8809-69a99e5696a6) | нет орп | Ждём когда починят ОРП в Пятнице |
| :large_yellow_circle: | Пятница | [PTN-811](https://plane.it4retail.tech/it4retail/projects/a047ce1e-91dc-4ef7-94df-a6c4ed47ca17/issues/8d5db477-423a-48c1-8ef7-438ad2f12f81) | тт левченко нет орп с 22,01-27,01 посмотрите куда пропали. | Ждём когда починят ОРП в Пятнице |
| :large_yellow_circle: | Пятница | [PTN-809](https://plane.it4retail.tech/it4retail/projects/a047ce1e-91dc-4ef7-94df-a6c4ed47ca17/issues/c7aa539a-74a4-4dd2-8dab-7cd38288abf5) | Убрать чек | Ждём когда починят ОРП в Пятнице |
| :large_yellow_circle: | Пятница | [PTN-666](https://plane.it4retail.tech/it4retail/projects/a047ce1e-91dc-4ef7-94df-a6c4ed47ca17/issues/eb260973-f283-41e4-887c-f3bbfdc2cfeb) | Поставить УТМ | Ещё раз напомнил Александру, что УТМ на точке не появится, пока он не почистит сертификаты с винды |
| :large_yellow_circle: | Пятница | [PTN-651](https://plane.it4retail.tech/it4retail/projects/a047ce1e-91dc-4ef7-94df-a6c4ed47ca17/issues/70749fd7-df0a-423a-a4d7-6bb2389fb15f) | Данные не уходят в ФНС | На коммерсанте всё ещё ремонт. Мне обещали, что Александр подключит кассу, чтобы мы посмотрели логи |
| :large_yellow_circle: | Пятница | [PTN-637](https://plane.it4retail.tech/it4retail/projects/a047ce1e-91dc-4ef7-94df-a6c4ed47ca17/issues/b1424a03-cc0c-4ac2-8899-82da6970c13f) | При первом пересчете минусовали эти чипсы, но во втором пересчете они поставили остаток 4 шт, а галочка перед фактом считается главнее нежели второй пересчет из-за чего данные второго пересчета не учитывает | Нормально оформить. Зафиксировать текущий статус. |
| :large_yellow_circle: | Зеленка | [TK7K-41](https://plane.it4retail.tech/it4retail/projects/41ae2e1d-edcb-4bf5-bb0d-341874620d18/issues/670cb783-2159-4179-8f06-6e469dce6053) | Система лояльности в Зеленке | в процессе |
| :large_yellow_circle: | Галактика | [GSUP-724](https://plane.it4retail.tech/it4retail/projects/d7adf4e3-dbda-4d20-bf52-37ae2ee3c257/issues/edce0e1f-a052-457a-b9c5-5f533bc836f2) | "Не найдено зарегистрированных сертификатов для пользователя" при открытии смены на кассе возврата в 1С | Если я правильно понимаю, то для работы с маркированным товаром у пользователя должен быть сертификат в ИБ. Нужно проверить настройки этого дела тут  Но когда я нажимаю на любую из ссылок, форма тупо обновляется и всё |
| :large_yellow_circle: | Галактика | [GSUP-637](https://plane.it4retail.tech/it4retail/projects/d7adf4e3-dbda-4d20-bf52-37ae2ee3c257/issues/03e4db7b-6e67-4a12-b277-41023c320854) | Проверить старые чеки коррекции | Нашёл чеки. Нужно отработать процедуру пробития чека коррекции, сделать инструкцию и разослать АСУшникам |
| :large_yellow_circle: | Галактика - разработка | [GDEV-145](https://plane.it4retail.tech/it4retail/projects/31e5290b-75bb-4720-bcfa-a92596dd954c/issues/4f60d1fb-63ce-4f39-aa4a-06253b5324e8) | Автоматизация репозитория бухгалтерии галактики | Выгрузил репозиторий в гитлаб. Настройка скриптов в процессе |
